Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_w2
6,12,1.2044,10.79,0.1219999999999998,247620.8045,7103.6,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,248338.90483305,7126.303058743207,0.0022899952858255,0.1197100047141743,2.894010933453939,0.0031,1.2075,1.0824,1.0855,1.0051544163705737,0.046096957420253,0.046347967950831,0.0612319679508309,0.2474509404929207,1.062946866578169,0.9769764858554424,0.0303896549127823,8171823.784961594,233750.59770790988,0.1164645238992527,0.1161655259496976,14.716965771658918,14.641497397782082,3654795.162199258,104877.55819399202,9.386214072595408,0.269345659313922,3636053.4288811535,104339.74769039516,9.33808171135266,0.2679644589201322,0.223~0.270,0.24,0.045~0.070,0.056,0.00845,0.00361,0.00905,0.0042,0.00852,0.00365,0.00909,0.00423,0.0105,0.00596,0.00905,0.0042,0.0105,0.00593,0.00908,0.00422,0.00877,0.00376,0.00905,0.0042,0.00968,0.00551,0.00905,0.0042,0.9237532507001461,1.0,0.953746620758031,1.20180602827619,1.1197822310669905
6,12,1.2044,10.79,0.1259999999999999,228287.3436,6838.5,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,228949.37689644,6860.188055719692,0.0022899952858255,0.1237100047141743,2.894010933453939,0.0031,1.2075,1.0784,1.0815,1.0051544163705737,0.0459266065059136,0.0461771785710029,0.0620531785710029,0.2491047542119639,1.0706238399579968,0.9765906591208996,0.0311454459860309,7350974.424932815,219566.61025394005,0.1164645238992527,0.1161655259496977,15.220361672783095,15.142311892476188,3484692.3211221467,104414.5433513604,8.949357392576799,0.2681565485050102,3466822.872553976,103879.1071807474,8.90346522566281,0.2667814458531395,0.223~0.270,0.24,0.045~0.070,0.056,0.00775,0.00329,0.00845,0.00396,0.00782,0.00333,0.00849,0.00399,0.00987,0.00562,0.00845,0.00396,0.00983,0.0056,0.00848,0.00398,0.00811,0.00345,0.00845,0.00396,0.00909,0.00524,0.00845,0.00396,0.905517508988102,1.0,0.9412702484621052,1.2042800185541345,1.1273763372443275
6,12,1.2044,10.79,0.1299999999999999,209447.2114,6589.8,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,210054.60831306,6610.532052746952,0.0022899952858255,0.1277100047141743,2.894010933453939,0.0031,1.2075,1.0744,1.0775,1.0051544163705737,0.0457562555915741,0.0460063891911749,0.0629063891911749,0.2508114614430029,1.078300813337825,0.97619045229653,0.031857475141958,6593573.639375028,206852.55095187583,0.1164645238992527,0.1161655259496977,15.751680790561885,15.670906413999838,3308713.1387338275,104126.99075064778,8.497409142425585,0.2674180583441017,3291746.108703356,103593.02914534372,8.45383455917963,0.2660467426584055,0.223~0.270,0.24,0.045~0.070,0.056,0.0071,0.00305,0.0079,0.00379,0.00718,0.00309,0.00794,0.00381,0.00926,0.0053,0.0079,0.00379,0.00923,0.00528,0.00793,0.0038,0.0075,0.0032,0.0079,0.00379,0.00855,0.00504,0.0079,0.00379,0.8879700661341098,1.0,0.9269839843980675,1.2038676316073742,1.134669225814764
6,12,1.2044,10.79,0.1339999999999999,205963.2717,6625.6,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,206560.56518793,6646.373908274139,0.0022899952858255,0.1317100047141743,2.894010933453939,0.0031,1.2075,1.0704,1.0735,1.0051544163705737,0.0455859046772347,0.0458355998113469,0.0637915998113469,0.2525699899262517,1.085977786717653,0.975775737097037,0.032526471061133,6350537.222427309,203698.70397398112,0.1164645238992527,0.1161655259496976,16.312115742902947,16.228467464534432,3369439.847264963,108416.42046237797,8.653366962467777,0.2784341355076228,3352161.4116081656,107860.46272755742,8.60899262992196,0.277006329547849,0.223~0.270,0.24,0.045~0.070,0.056,0.00651,0.00288,0.0074,0.00367,0.00658,0.00291,0.00744,0.00369,0.00872,0.00508,0.0074,0.00367,0.00869,0.00506,0.00743,0.00368,0.00694,0.00302,0.0074,0.00367,0.00804,0.00484,0.0074,0.00367,0.8684384451619981,1.0,0.9129990696719994,1.204864190702444,1.1361277494533149
6,12,1.2044,10.79,0.1379999999999999,193381.5215,6474.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,193942.32791235,6494.181745626355,0.0022899952858255,0.1357100047141743,2.894010933453939,0.0031,1.2075,1.0664,1.0695,1.0051544163705737,0.0454155537628953,0.0456648104315189,0.0647088104315188,0.2543792649402047,1.0936547600974809,0.975346384596487,0.0331532509572605,5849873.611561367,195274.96740352703,0.1164645238992527,0.1161655259496976,16.902911669304466,16.816233798521974,3278190.037641734,109770.58041073177,8.41901997195359,0.281911877651764,3261379.529603692,109207.67856454635,8.37584736716684,0.2804662378838225,0.223~0.270,0.24,0.045~0.070,0.056,0.00595,0.00278,0.00694,0.0036,0.00603,0.0028,0.00698,0.00362,0.00822,0.00492,0.00694,0.0036,0.00819,0.00491,0.00697,0.00361,0.00641,0.00289,0.00694,0.0036,0.00758,0.00475,0.00694,0.0036,0.850639896756099,1.0,0.8971820972938135,1.2054360171501421,1.1418493841556618
6,12,1.2044,10.79,0.1419999999999999,177022.9243,6180.7,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,177536.29078047,6199.859143715917,0.0022899952858255,0.1397100047141743,2.894010933453939,0.0031,1.2075,1.0624,1.0655,1.0051544163705737,0.0452452028485558,0.0454940210516908,0.0656580210516908,0.2562382115370205,1.1013317334773092,0.9749022652334424,0.0337387106262153,5262094.712135277,183193.1299472224,0.1164645238992527,0.1161655259496976,17.525367682054515,17.43549786642273,3111388.772835882,108654.8110705691,7.990642372234625,0.2790463682544868,3095433.61911549,108097.63087238032,7.949666481183415,0.2776154227746137,0.223~0.270,0.24,0.045~0.070,0.056,0.00544,0.00274,0.0065,0.00354,0.00552,0.00276,0.00654,0.00355,0.00774,0.00477,0.0065,0.00354,0.00771,0.00476,0.00653,0.00354,0.00592,0.00277,0.0065,0.00354,0.00714,0.00466,0.0065,0.00354,0.8396862220175877,1.0,0.8822528176235874,1.2054622343727641,1.1468680712457846
6,12,1.2044,10.79,0.1459999999999999,158545.6558,5855.0,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,159005.43820181998,5873.02535619409,0.0022899952858255,0.1437100047141744,2.894010933453939,0.0031,1.2075,1.0584,1.0615,1.0051544163705737,0.0450748519342164,0.0453232316718628,0.0666392316718628,0.25814575664121,1.109008706857137,0.9744432488163096,0.034283814736495,4637915.571062725,170780.2951626433,0.1164645238992527,0.1161655259496976,18.180838353045587,18.08760729390538,2890852.169202469,106776.52464430271,7.424262129107478,0.2742225689157633,2876027.92378986,106228.97626998746,7.386190627222347,0.2728163598046261,0.223~0.270,0.24,0.045~0.070,0.056,0.00498,0.00281,0.00611,0.00357,0.00505,0.00276,0.00615,0.00358,0.00732,0.00471,0.00611,0.00357,0.00729,0.00471,0.00614,0.00357,0.00547,0.00274,0.00611,0.00357,0.00675,0.00467,0.00611,0.00357,0.8245702270388221,1.0,0.866752301745616,1.2030208090722634,1.1507938310886239
6,12,1.2044,10.79,0.3259999999999999,206248.9926,4684.9,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,206847.11467854,4700.69782740346,0.0022899952858255,0.3237100047141744,2.894010933453939,0.0031,1.2075,0.8784,0.8815,1.0051544163705737,0.0374090607889415,0.0376377095796015,0.1439137095796015,0.3793596045701249,1.4544725089493984,0.9361495179609092,0.0344551818711254,6003367.373076754,135970.83937978285,0.1164645238992527,0.1161655259496976,118.12513276572716,117.51938890370214,24433842.88361013,555270.554953599,62.75078896178722,1.426041150242494,24308546.513516013,552423.1360974149,62.42900388217832,1.4187284331811072,0.340~0.428,0.38,0.035~0.045,0.04,0.002,0.031,0.00199,0.031,0.00199,0.031,0.00199,0.031,0.002,0.031,0.00199,0.031,0.002,0.031,0.00199,0.031,0.002,0.0311,0.00199,0.031,0.00201,0.0311,0.00199,0.031,0.9908675099200874,1.0,0.9972988405842175,0.9578701942733365,0.9662441537331579
6,12,1.2044,10.79,0.3299999999999999,201401.5573,4633.1,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,201985.62181617,4648.668461237103,0.0022899952858255,0.3277100047141744,2.894010933453939,0.0031,1.2075,0.8744,0.8775,1.0051544163705737,0.037238709874602,0.0374669201997735,0.1463669201997735,0.3825792992305955,1.4621494823292265,0.9348552682134668,0.0342222252247066,5902176.743035018,135382.78032999285,0.1164645238992527,0.1161655259496976,123.13269584509366,122.50127327670016,24871034.13617257,572403.0797221877,63.873579844750935,1.470040755677358,24743495.856066845,569467.8055427835,63.54603711078206,1.4625024093167724,0.340~0.428,0.38,0.035~0.045,0.04,0.00206,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00204,0.0313,0.00206,0.0314,0.00204,0.0313,1.039976349245941,1.0,1.0256388151081985,0.9543086885470209,0.9631154259989554
6,12,1.2044,10.79,0.3339999999999999,206213.9008,4710.3,13,0.1883210262901881,0.0088400300118026,0.9911599699881972,0.0089188731178358,1.0029,0.00069905,206811.92111232,4726.158818672019,0.0022899952858255,0.3317100047141744,2.894010933453939,0.0031,1.2075,0.8704,0.8734999999999999,1.0051544163705737,0.0370683589602626,0.0372961308199455,0.1488521308199455,0.385813595950098,1.4698264557090543,0.9335394497123786,0.0339873110561425,6084974.500356729,138589.95765270165,0.1164645238992528,0.1161655259496977,128.33773125278415,127.67961734296304,26541772.75158492,606544.5003287054,68.16435664827921,1.5577224637713516,26405666.94958407,603434.1494701136,67.81481087692782,1.5497344869617138,0.340~0.428,0.38,0.035~0.045,0.04,0.00216,0.0315,0.0021,0.0316,0.00213,0.0315,0.00209,0.0315,0.00209,0.0316,0.0021,0.0316,0.00208,0.0316,0.00209,0.0315,0.00211,0.0314,0.0021,0.0316,0.0021,0.0317,0.0021,0.0316,1.099107568589548,1.0,1.055496208542064,0.9536442889568305,0.9596597724829666
