Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),bin,Q2center,qvbin,qvcenter,RL_fortran_qvcenter,RT_fortran_qvcenter,RL_fortran_qvdata,RT_fortran_qvdata,bin_centering_correction,Hbc_Sig(GeV),Hbc_error(GeV)
6,12,0.054,180.0,0.013572546,141.9,871.0,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.0130558,2.894010933,0.0031,0.0571,0.040427454,0.043527454,1.118110425,0.00873233,0.00994167,0.010125884,0.100627454,0.898099405,1.84e-33,0.000248288,571513.7923,3508023.348,1.71e-35,1.62e-35,124.6570805,111.4890602,17688.83973,108576.3171,0.045428329,0.278844781,15820.29765,97106.97145,0.040629555,0.249389304,0.004~0.015,0.01,0.063~0.124,0.1,0.00499,3.06e-05,0.00502,3.03e-05,1.0,0.040629555,0.249389304
6,12,0.065,180.0,0.015979259,15367.0,860.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.015232,2.894010933,0.0031,0.0681,0.049020741,0.052120741,1.097659172,0.012745393,0.01419769,0.014453027,0.120220741,0.89836529,1.84e-33,0.000175907,87358533.26,4888939.846,1.18e-35,1.13e-35,177.2174445,161.4503382,2723300.469,152407.0022,6.993957268,0.391410376,2481007.347,138847.2908,6.371702118,0.35658644,0.004~0.015,0.01,0.063~0.124,0.1,0.0178,0.00563,0.0245,0.0109,1.0,6.371702118,0.35658644
6,12,0.065,180.0,0.016231259,14008.5,715.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.015484,2.894010933,0.0031,0.0681,0.048768741,0.051868741,1.097659172,0.012679873,0.014129045,0.014392499,0.119968741,0.89890741,1.84e-33,0.000181933,76998023.92,3930012.999,1.18e-35,1.13e-35,177.3326671,161.5553094,2484164.667,126792.857,6.37981072,0.325628345,2263147.552,115512.0462,5.812196432,0.296657062,0.004~0.015,0.01,0.063~0.124,0.1,0.021,0.00482,0.0221,0.00726,1.0,5.812196432,0.296657062
6,12,0.054,180.0,0.013994646,2286.35,1010.5,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.0134779,2.894010933,0.0031,0.0571,0.040005354,0.043105354,1.118110425,0.008641156,0.009845263,0.010041113,0.100205354,0.898988885,1.84e-33,0.000262482,8710509.75,3849791.197,1.71e-35,1.62e-35,124.8239394,111.6382931,285391.2139,126134.5908,0.732939305,0.323937791,255244.2115,112810.4952,0.655516029,0.289718961,0.004~0.015,0.01,0.063~0.124,0.1,0.006,4.03e-05,0.00602,4.02e-05,1.0,0.655516029,0.289718961
6,12,0.065,180.0,0.016484259,9823.0,690.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.015737,2.894010933,0.0031,0.0681,0.048515741,0.051615741,1.097659172,0.012614093,0.014060128,0.014331859,0.119715741,0.899451682,1.84e-33,0.000187983,52254687.33,3670542.02,1.18e-35,1.13e-35,177.4510607,161.6631695,1743101.769,122441.2319,4.476619244,0.314452538,1588017.314,111547.5869,4.078332655,0.286475571,0.004~0.015,0.01,0.063~0.124,0.1,0.0263,0.00557,0.0292,0.0074,1.0,4.078332655,0.286475571
6,12,0.065,180.0,0.016747259,8189.5,745.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.016,2.894010933,0.0031,0.0681,0.048252741,0.051352741,1.097659172,0.012545713,0.013988487,0.014268957,0.119452741,0.900017467,1.84e-33,0.000194272,42154779.58,3834826.398,1.18e-35,1.13e-35,177.5770594,161.777958,1454267.328,132294.9092,3.734837071,0.339758669,1324880.587,120524.5787,3.402547136,0.309530205,0.004~0.015,0.01,0.063~0.124,0.1,0.0227,0.00476,0.0346,0.00842,1.0,3.402547136,0.309530205
6,12,0.054,180.0,0.014499196,4085.95,1184.5,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.01398245,2.894010933,0.0031,0.0571,0.039500804,0.042600804,1.118110425,0.008532174,0.009730024,0.00994025,0.099700804,0.900052109,1.84e-33,0.000279448,14621499.64,4238712.251,1.71e-35,1.62e-35,125.0336107,111.8258161,510881.0818,148102.3119,1.31204048,0.380355107,456914.6931,132457.6791,1.173444456,0.340176693,0.004~0.015,0.01,0.063~0.124,0.1,0.00617,0.000146,0.00615,0.000148,1.0,1.173444456,0.340176693
6,12,0.065,180.0,0.017020759,8189.5,685.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0162735,2.894010933,0.0031,0.0681,0.047979241,0.051079241,1.097659172,0.012474603,0.013913985,0.014203692,0.119179241,0.900605839,1.84e-33,0.000200812,40781872.05,3411146.267,1.18e-35,1.13e-35,177.7113006,161.9002557,1455366.696,121732.2409,3.737660459,0.312631713,1325882.144,110901.6752,3.405119326,0.284816746,0.004~0.015,0.01,0.063~0.124,0.1,0.013,0.00261,0.0257,0.00619,1.0,3.405119326,0.284816746
6,12,0.054,180.0,0.014956246,9067.3,1394.0,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.0144395,2.894010933,0.0031,0.0571,0.039043754,0.042143754,1.118110425,0.008433451,0.009625633,0.009849323,0.099243754,0.901015237,1.83e-33,0.000294817,30755675.85,4728354.872,1.71e-35,1.62e-35,125.2334648,112.0045588,1135529.396,174575.45,2.916257005,0.448343196,1015578.936,156134.3549,2.608201247,0.400982932,0.004~0.015,0.01,0.063~0.124,0.1,0.00967,0.00232,0.00972,0.00238,1.0,2.608201247,0.400982932
6,12,0.2,36.0,0.0175,432049.86,78200.0,1,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,0.000681097,0.016818903,2.894010933,0.0031,0.2031,0.1825,0.1856,1.03124025,0.013941759,0.014398346,0.014704596,0.12126251,0.901021912,0.822614229,0.001321649,326902207.3,59168524.22,0.033031027,0.032526861,26.78643869,25.97497401,11573077.09,2094699.506,29.72187884,5.379589581,11222483.88,2031242.967,28.82148834,5.216621036,0.004~0.015,0.01,0.063~0.124,0.1,0.00697,0.00101,0.0102,0.00195,1.0,28.82148834,5.216621036
6,12,0.065,180.0,0.017252759,7177.5,685.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0165055,2.894010933,0.0031,0.0681,0.047747241,0.050847241,1.097659172,0.012414283,0.013850789,0.014148446,0.118947241,0.901104935,1.84e-33,0.00020636,34781451.07,3319441.865,1.18e-35,1.13e-35,177.8277785,162.0063706,1276358.88,121812.0283,3.277934098,0.312836622,1162800.725,110974.3638,2.986295002,0.285003424,0.004~0.015,0.01,0.063~0.124,0.1,0.0081,0.00139,0.0151,0.00344,1.0,2.986295002,0.285003424
6,12,0.065,180.0,0.017494259,5670.5,575.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.016747,2.894010933,0.0031,0.0681,0.047505741,0.050605741,1.097659172,0.012351493,0.013785004,0.014091053,0.118705741,0.901624467,1.83e-33,0.000212135,26730633.09,2710539.463,1.18e-35,1.13e-35,177.9516046,162.1191798,1009074.574,102322.1726,2.591496799,0.26278294,919296.8089,93218.52837,2.360930302,0.239403037,0.004~0.015,0.01,0.063~0.124,0.1,0.00697,0.00101,0.0098,0.00177,1.0,2.360930302,0.239403037
6,12,0.054,180.0,0.015499296,15120.6,1324.0,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.01498255,2.894010933,0.0031,0.0571,0.038500704,0.041600704,1.118110425,0.008316152,0.009501601,0.009741829,0.098700704,0.902159591,1.83e-33,0.000313078,48296580.75,4228977.217,1.71e-35,1.62e-35,125.4836284,112.2282966,1897387.752,166140.3241,4.872855203,0.426680177,1696959.182,148590.2647,4.35811624,0.381608263,0.004~0.015,0.01,0.063~0.124,0.1,0.0239,0.0098,0.0237,0.00966,1.0,4.35811624,0.381608263
6,12,0.065,180.0,0.017747259,7650.5,655.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.017,2.894010933,0.0031,0.0681,0.047252741,0.050352741,1.097659172,0.012285713,0.013716087,0.014031052,0.118452741,0.902168739,1.83e-33,0.000218185,35064314.22,3002042.456,1.18e-35,1.13e-35,178.084189,162.2399681,1362433.088,116645.1438,3.498989151,0.299567073,1241216.876,106267.1791,3.187682699,0.272914472,0.004~0.015,0.01,0.063~0.124,0.1,0.00759,0.00138,0.00917,0.0014,1.0,3.187682699,0.272914472
6,12,0.065,180.0,0.018031759,9542.5,655.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0172845,2.894010933,0.0031,0.0681,0.046968241,0.050068241,1.097659172,0.012211743,0.013638589,0.013963733,0.118168241,0.902780775,1.83e-33,0.000224988,42413385.87,2911267.251,1.18e-35,1.13e-35,178.2368334,162.3790317,1700824.982,116745.1259,4.368044357,0.299823846,1549501.91,106358.2657,3.979417719,0.2731484,0.004~0.015,0.01,0.063~0.124,0.1,0.00886,0.00289,0.0105,0.00246,1.0,3.979417719,0.2731484
6,12,0.054,180.0,0.015940246,13739.0,1324.0,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.0154235,2.894010933,0.0031,0.0571,0.038059754,0.041159754,1.118110425,0.008220907,0.009400888,0.009654979,0.098259754,0.903088793,1.83e-33,0.000327906,41899238.25,4037745.938,1.71e-35,1.62e-35,125.6972633,112.4193643,1726954.7,166423.1766,4.435150478,0.427406597,1544529.647,148843.2384,3.966647996,0.382257948,0.004~0.015,0.01,0.063~0.124,0.1,0.0181,0.00603,0.0176,0.0057,1.0,3.966647996,0.382257948
6,12,0.065,180.0,0.018273259,9036.5,775.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.017526,2.894010933,0.0031,0.0681,0.046726741,0.049826741,1.097659172,0.012148953,0.013572804,0.013906716,0.117926741,0.903300308,1.83e-33,0.000230763,39159252.31,3358426.442,1.18e-35,1.13e-35,178.3694039,162.4998073,1611835.118,138236.288,4.139501339,0.355017268,1468429.509,125937.3507,3.771208264,0.323431241,0.004~0.015,0.01,0.063~0.124,0.1,0.0103,0.00485,0.0121,0.0048,1.0,3.771208264,0.323431241
6,12,0.065,180.0,0.018526259,10928.5,775.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.017779,2.894010933,0.0031,0.0681,0.046473741,0.049573741,1.097659172,0.012083173,0.013503887,0.013847109,0.117673741,0.903844579,1.83e-33,0.000236813,46148279.55,3272628.142,1.18e-35,1.13e-35,178.5112855,162.6290657,1950860.584,138346.2463,5.010183676,0.355299661,1777291.744,126037.5259,4.564425649,0.32368851,0.004~0.015,0.01,0.063~0.124,0.1,0.012,0.00612,0.0143,0.0077,1.0,4.564425649,0.32368851
6,12,0.054,180.0,0.016462796,11667.7,1533.0,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.01594605,2.894010933,0.0031,0.0571,0.037537204,0.040637204,1.118110425,0.008108036,0.009281537,0.009552561,0.097737204,0.904189948,1.82e-33,0.000345477,33772695.15,4437339.122,1.71e-35,1.62e-35,125.9630739,112.6570963,1469699.357,193101.3923,3.774469478,0.495921365,1314449.203,172703.3287,3.375757343,0.44353523,0.004~0.015,0.01,0.063~0.124,0.1,0.0261,0.00553,0.0254,0.00529,1.0,3.375757343,0.44353523
6,12,0.065,180.0,0.018768759,9636.0,630.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0180215,2.894010933,0.0031,0.0681,0.046231241,0.049331241,1.097659172,0.012020123,0.01343783,0.013790096,0.117431241,0.904366263,1.83e-33,0.000242612,39717813.65,2596743.732,1.18e-35,1.13e-35,178.6502013,162.7556221,1721473.34,112549.6268,4.421073295,0.289049001,1568313.175,102536.0419,4.027728652,0.263332197,0.004~0.015,0.01,0.063~0.124,0.1,0.0134,0.00566,0.0166,0.00867,1.0,4.027728652,0.263332197
6,12,0.0551,141.0,0.016324492,3120.0,93.6,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.015846,2.894010933,0.0031,0.0582,0.038775508,0.041875508,1.115688025,0.007593853,0.008662359,0.008928848,0.094492581,0.904549269,0.057340691,0.000403158,7738893.551,232166.8065,0.000619156,0.000586177,109.7802501,98.39690638,342514.3804,10275.43141,0.879642539,0.026389276,306998.3479,9209.950437,0.788430565,0.023652917,0.004~0.015,0.01,0.063~0.124,0.1,0.0234,0.0051,0.0225,0.00467,1.0,0.788430565,0.023652917
6,12,0.0551,141.0,0.016381492,6260.0,187.8,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.015903,2.894010933,0.0031,0.0582,0.038718508,0.041818508,1.115688025,0.00758269,0.008650568,0.008918921,0.09444004,0.904668156,0.057327194,0.00040533,15444193.35,463325.8005,0.000619156,0.000586177,109.8092404,98.42289057,687405.8447,20622.17534,1.765389886,0.052961697,616127.2949,18483.81885,1.582332916,0.047469987,0.004~0.015,0.01,0.063~0.124,0.1,0.0248,0.00531,0.0235,0.00481,1.0,1.582332916,0.047469987
6,12,0.0551,141.0,0.016408492,7730.0,231.9,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.01593,2.894010933,0.0031,0.0582,0.038691508,0.041791508,1.115688025,0.007577402,0.008644983,0.008914221,0.094415154,0.904724471,0.057320777,0.000406359,19022583.52,570677.5055,0.000619156,0.000586177,109.8230297,98.4352501,848932.02,25467.9606,2.180220045,0.065406601,760904.4833,22827.1345,1.954148468,0.058624454,0.004~0.015,0.01,0.063~0.124,0.1,0.0253,0.0054,0.0238,0.00486,1.0,1.954148468,0.058624454
6,12,0.0551,141.0,0.016467492,9560.0,286.8,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.015989,2.894010933,0.0031,0.0582,0.038632508,0.041732508,1.115688025,0.007565848,0.008632778,0.008903956,0.094360777,0.904847529,0.057306699,0.000408607,23396559.12,701896.7736,0.000619156,0.000586177,109.8532904,98.46237298,1050197.456,31505.92369,2.697108239,0.080913247,941300.2857,28239.00857,2.417439445,0.072523183,0.004~0.015,0.01,0.063~0.124,0.1,0.0262,0.00554,0.0242,0.00491,1.0,2.417439445,0.072523183
6,12,0.0551,141.0,0.016497492,12030.0,360.9,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016019,2.894010933,0.0031,0.0582,0.038602508,0.041702508,1.115688025,0.007559973,0.008626572,0.008898739,0.09433313,0.904910101,0.057299511,0.00040975,29359358.35,880780.7506,0.000619156,0.000586177,109.8687449,98.47622497,1321721.001,39651.63004,3.394432714,0.101832981,1184668.986,35540.06959,3.042456887,0.091273707,0.004~0.015,0.01,0.063~0.124,0.1,0.0264,0.00558,0.0241,0.0049,1.0,3.042456887,0.091273707
6,12,0.065,180.0,0.019031259,10202.5,745.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.018284,2.894010933,0.0031,0.0681,0.045968741,0.049068741,1.097659172,0.011951873,0.013366325,0.013728514,0.117168741,0.904930972,1.83e-33,0.000248889,40992233.89,2993306.959,1.18e-35,1.13e-35,178.8038483,162.895599,1824246.262,133208.867,4.685013846,0.342105887,1661942.349,121357.2213,4.268186307,0.311668591,0.004~0.015,0.01,0.063~0.124,0.1,0.0145,0.00455,0.0183,0.00721,1.0,4.268186307,0.311668591
6,12,0.0551,141.0,0.016549492,13210.0,396.3,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016071,2.894010933,0.0031,0.0582,0.038550508,0.041650508,1.115688025,0.007549789,0.008615815,0.008889701,0.094285211,0.905018559,0.057287007,0.000411731,32084035.45,962521.0636,0.000619156,0.000586177,109.8956412,98.50033233,1451721.42,43551.64261,3.728298693,0.111848961,1301189.39,39035.6817,3.341703604,0.100251108,0.004~0.015,0.01,0.063~0.124,0.1,0.0265,0.00558,0.0238,0.00482,1.0,3.341703604,0.100251108
6,12,0.0551,141.0,0.016610492,11190.0,335.7,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016132,2.894010933,0.0031,0.0582,0.038489508,0.041589508,1.115688025,0.007537842,0.008603197,0.008879105,0.094229005,0.905145789,0.057272264,0.000414055,27025382.72,810761.4816,0.000619156,0.000586177,109.9273686,98.52876987,1230087.255,36902.61765,3.159099701,0.094772991,1102536.935,33076.10804,2.831526046,0.084945781,0.004~0.015,0.01,0.063~0.124,0.1,0.026,0.00547,0.0228,0.00461,1.0,2.831526046,0.084945781
6,12,0.0551,141.0,0.016630492,13130.0,393.9,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016152,2.894010933,0.0031,0.0582,0.038469508,0.041569508,1.115688025,0.007533926,0.00859906,0.008875633,0.094210578,0.905187503,0.057267413,0.000414817,31652503.03,949575.0909,0.000619156,0.000586177,109.9378126,98.53813084,1443483.479,43304.50437,3.707142081,0.111214262,1293805.658,38814.16974,3.322740765,0.099682223,0.004~0.015,0.01,0.063~0.124,0.1,0.0257,0.0054,0.0224,0.00452,1.0,3.322740765,0.099682223
6,12,0.054,180.0,0.016949096,6261.75,1219.5,22,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000516746,0.01643235,2.894010933,0.0031,0.0571,0.037050904,0.040150904,1.118110425,0.008002995,0.009170466,0.009457738,0.097250904,0.905214714,1.82e-33,0.00036183,17305781.84,3370367.861,1.71e-35,1.62e-35,126.223208,112.8897515,790378.1729,153929.2022,2.029842549,0.395319677,706887.4013,137669.0519,1.815422255,0.353560497,0.004~0.015,0.01,0.063~0.124,0.1,0.0154,0.00314,0.0139,0.00278,1.0,1.815422255,0.353560497
6,12,0.0551,141.0,0.016651492,8880.0,266.4,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016173,2.894010933,0.0031,0.0582,0.038448508,0.041548508,1.115688025,0.007529813,0.008594716,0.008871988,0.09419123,0.905231304,0.05726231,0.000415617,21365818.44,640974.5532,0.000619156,0.000586177,109.9488008,98.54797968,976345.3511,29290.36053,2.507441886,0.075223257,875106.0596,26253.18179,2.247439992,0.0674232,0.004~0.015,0.01,0.063~0.124,0.1,0.0253,0.00531,0.0219,0.00442,1.0,2.247439992,0.0674232
6,12,0.0551,141.0,0.016685492,7840.0,235.2,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016207,2.894010933,0.0031,0.0582,0.038414508,0.041514508,1.115688025,0.007523154,0.008587682,0.008866088,0.094159907,0.905302219,0.057254027,0.000416912,18804911.99,564147.3598,0.000619156,0.000586177,109.9666394,98.56396855,862138.4527,25864.15358,2.214136694,0.066424101,772741.5134,23182.2454,1.984548229,0.059536447,0.004~0.015,0.01,0.063~0.124,0.1,0.0245,0.00515,0.0209,0.00422,1.0,1.984548229,0.059536447
6,12,0.0551,141.0,0.016733492,6980.0,209.4,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016255,2.894010933,0.0031,0.0582,0.038366508,0.041466508,1.115688025,0.007513754,0.008577753,0.008857763,0.094115689,0.905402334,0.05724229,0.000418741,16669021.31,500070.6394,0.000619156,0.000586177,109.9919248,98.58663203,767743.6348,23032.30904,1.97171272,0.059151382,688134.6916,20644.04075,1.767261704,0.053017851,0.004~0.015,0.01,0.063~0.124,0.1,0.0232,0.00486,0.0194,0.00391,1.0,1.767261704,0.053017851
6,12,0.065,180.0,0.019273759,11148.5,685.0,23,3.141592654,1.0,3.75e-33,2.67e+32,1.1,,0.000747259,0.0185265,2.894010933,0.0031,0.0681,0.045726241,0.048826241,1.097659172,0.011888823,0.013300268,0.013671746,0.116926241,0.905452655,1.82e-33,0.000254687,43773265.24,2689571.394,1.18e-35,1.13e-35,178.9488598,163.0277088,1995011.363,122579.969,5.123571336,0.314808841,1817514.412,111673.9805,4.667725164,0.286800174,0.004~0.015,0.01,0.063~0.124,0.1,0.0154,0.0047,0.0194,0.00606,1.0,4.667725164,0.286800174
6,12,0.0551,141.0,0.016783492,5890.0,176.7,21,2.460914245,0.888572981,0.111427019,7.974483985,1.0,,0.000478492,0.016305,2.894010933,0.0031,0.0582,0.038316508,0.041416508,1.115688025,0.007503962,0.00856741,0.008849096,0.094069633,0.90550662,0.057230011,0.000420645,14002291.03,420068.7309,0.000619156,0.000586177,110.0183905,98.61035345,648008.3198,19440.2496,1.664209495,0.049926285,580814.9818,17424.44946,1.491644132,0.044749324,0.004~0.015,0.01,0.063~0.124,0.1,0.0215,0.0045,0.0178,0.00356,1.0,1.491644132,0.044749324
