Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),bin,Q2center,qvbin,qvcenter,RL_fortran_qvcenter,RT_fortran_qvcenter,RL_fortran_qvdata,RT_fortran_qvdata
6,12,0.054,180.0,0.0135725464114832,141.90000000000003,871.0000000000001,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.013055799999999944,2.894010933453939,0.0031,0.0571,0.0404274535885168,0.0435274535885168,1.1181104252400547,0.008732329975119628,0.009941670399617237,0.010125884415709102,0.1006274535885168,0.898099405117619,1.840594463864127e-33,0.0002482879711751739,571513.7923451223,3508023.348362237,1.7126675406299964e-35,1.6196855900879126e-35,124.65708053082717,111.48906021877374,17688.83972732438,108576.31714235048,0.045428328814080016,0.2788447808108787,15820.297645043998,97106.97145055194,0.040629554817295174,0.24938930405823884,0.004~0.015,0.01,0.063~0.124,0.1,0.00473,2.92e-05,0.00477,2.9e-05
6,12,0.065,180.0,0.0159792585779978,15367.000000000002,860.0000000000008,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.015231999999999926,2.894010933453939,0.0031,0.06810000000000001,0.049020741422002204,0.0521207414220022,1.0976591715976332,0.012745392769720573,0.014197689963353402,0.014453026668055919,0.12022074142200222,0.8983652896556065,1.8415800460675654e-33,0.00017590725743604706,87358533.26339783,4888939.845547094,1.1820446268584778e-35,1.128236427985331e-35,177.21744447577407,161.45033819362678,2723300.4692592206,152407.00224916585,6.993957268205712,0.3914103761734182,2481007.347021463,138847.29084651914,6.371702117722087,0.3565864398542981,0.004~0.015,0.01,0.063~0.124,0.1,0.023,0.00932,0.0267,0.0126
6,12,0.065,180.0,0.0162312585779978,14008.5,715.0000000000001,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.015483999999999928,2.894010933453939,0.0031,0.06810000000000001,0.0487687414220022,0.0518687414220022,1.0976591715976332,0.012679872769720572,0.0141290451633534,0.014392498918379227,0.1199687414220022,0.8989074101996064,1.8403834719374726e-33,0.00018193324044783415,76998023.92084952,3930012.999493694,1.182044626858478e-35,1.1282364279853313e-35,177.33266709795802,161.55530941344196,2484164.667041745,126792.85697504,6.379810720336146,0.32562834457938716,2263147.5519182016,115512.04623061103,5.812196431657732,0.296657061686496,0.004~0.015,0.01,0.063~0.124,0.1,0.0183,0.00626,0.022,0.00856
6,12,0.054,180.0,0.0139946464114832,2286.3500000000004,1010.5,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.013477899999999944,2.894010933453939,0.0031,0.0571,0.0400053535885168,0.0431053535885168,1.1181104252400547,0.008641156375119629,0.009845262759617236,0.010041112887799675,0.10020535358851679,0.8989888846288189,1.8381340422127277e-33,0.0002624817680808559,8710509.74975033,3849791.196502157,1.712667540629996e-35,1.6196855900879123e-35,124.82393940667336,111.63829313180231,285391.2138624477,126134.59077044344,0.7329393054517642,0.3239377908714797,255244.21150189626,112810.49520968624,0.655516028566145,0.2897189611678393,0.004~0.015,0.01,0.063~0.124,0.1,0.00588,3.81e-05,0.00589,3.81e-05
6,12,0.065,180.0,0.0164842585779978,9823.0,690.0000000000001,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.015736999999999928,2.894010933453939,0.0031,0.06810000000000001,0.0485157414220022,0.0516157414220022,1.0976591715976332,0.012614092769720572,0.0140601279633534,0.014331858744219694,0.1197157414220022,0.8994516820156063,1.8391555864152573e-33,0.00018798313609062024,52254687.33144588,3670542.019616987,1.1820446268584776e-35,1.1282364279853309e-35,177.45106067822599,161.6631694699435,1743101.769042214,122441.23186797595,4.476619243608919,0.31445253772677945,1588017.313703255,111547.58693426104,4.078332655020081,0.28647557079953745,0.004~0.015,0.01,0.063~0.124,0.1,0.0196,0.00475,0.025,0.00687
6,12,0.065,180.0,0.0167472585779978,8189.5,744.9999999999995,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.015999999999999927,2.894010933453939,0.0031,0.06810000000000001,0.0482527414220022,0.0513527414220022,1.0976591715976332,0.012545712769720573,0.013988486763353401,0.014268957433231722,0.11945274142200221,0.9000174665516064,1.8378506248742477e-33,0.00019427215804339974,42154779.57562243,3834826.3976846803,1.1820446268584774e-35,1.1282364279853309e-35,177.57705938914538,161.77795802560786,1454267.327867406,132294.90924491323,3.7348370708499283,0.3397586687567245,1324880.5872507156,120524.57872907778,3.402547136206138,0.3095302053206632,0.004~0.015,0.01,0.063~0.124,0.1,0.0258,0.00547,0.0336,0.00821
6,12,0.054,180.0,0.0144991964114832,4085.9500000000003,1184.5,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.013982449999999945,2.894010933453939,0.0031,0.0571,0.0395008035885168,0.0426008035885168,1.1181104252400547,0.008532173575119628,0.009730023539617235,0.009940250236196003,0.0997008035885168,0.9000521087164189,1.835051638832727e-33,0.0002794480799234603,14621499.640001556,4238712.2513936395,1.7126675406299964e-35,1.6196855900879126e-35,125.03361074484714,111.82581605748183,510881.0818229082,148102.31192727142,1.3120404801957304,0.38035510683974166,456914.69312006794,132457.67912008724,1.1734444564489592,0.3401766929756341,0.004~0.015,0.01,0.063~0.124,0.1,0.00616,9.65e-05,0.00614,9.63e-05
6,12,0.065,180.0,0.0170207585779978,8189.5,684.9999999999995,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.016273499999999927,2.894010933453939,0.0031,0.06810000000000001,0.0479792414220022,0.0510792414220022,1.0976591715976332,0.012474602769720573,0.013913985363353401,0.014203691585923887,0.1191792414220022,0.9006058394436064,1.8364623325445343e-33,0.00020081226262166923,40781872.04846667,3411146.2669515414,1.1820446268584776e-35,1.1282364279853309e-35,177.71130056856632,161.9002557140839,1455366.6960062739,121732.24088946785,3.73766045882054,0.31263171308285836,1325882.14417049,110901.6751641474,3.405119326229843,0.28481674564594184,0.004~0.015,0.01,0.063~0.124,0.1,0.0239,0.00502,0.0311,0.00756
6,12,0.054,180.0,0.0149562464114832,9067.300000000001,1394.0000000000002,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.014439499999999944,2.894010933453939,0.0031,0.0571,0.0390437535885168,0.0421437535885168,1.1181104252400547,0.008433450775119629,0.009625633319617235,0.009849322626338239,0.0992437535885168,0.901015237384019,1.832123167638955e-33,0.0002948171272481305,30755675.84772163,4728354.872092458,1.7126675406299962e-35,1.6196855900879123e-35,125.23346484515386,112.00455877894765,1135529.3957904638,174575.44999414452,2.91625700527649,0.44834319647033044,1015578.9358163521,156134.35493785306,2.6082012468941773,0.40098293187282696,0.004~0.015,0.01,0.063~0.124,0.1,0.00826,0.00154,0.00818,0.00152
6,12,0.2,36.0,0.0175,432049.86,78200.0,1,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.99185,0.002432,0.000681097211173709,0.016818902788826293,2.894010933453939,0.0031,0.2031,0.1825,0.1856,1.0312402499999997,0.013941759410628835,0.01439834630183676,0.014704596301836759,0.12126250987768956,0.9010219117941631,0.8226142285646995,0.0013216486472641064,326902207.2502928,59168524.22304429,0.03303102706091007,0.032526860719753886,26.7864386900359,25.97497400827393,11573077.085928595,2094699.5055608074,29.7218788430836,5.379589581464365,11222483.88377839,2031242.9674470213,28.821488341910246,5.216621036140091,0.004~0.015,0.01,0.063~0.124,0.1,0.0081,0.00139,0.0107,0.00214
6,12,0.065,180.0,0.0172527585779978,7177.500000000001,685.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.016505499999999926,2.894010933453939,0.0031,0.06810000000000001,0.04774724142200221,0.050847241422002205,1.0976591715976332,0.012414282769720574,0.013850788563353403,0.01414844624190408,0.11894724142200222,0.9011049345476064,1.8352594421239658e-33,0.00020635999301347422,34781451.070951276,3319441.864660623,1.1820446268584776e-35,1.1282364279853309e-35,177.8277784987021,162.00637055660488,1276358.8801744345,121812.02827161094,3.277934097835012,0.3128366223639127,1162800.7246700316,110974.36383127434,2.9862950018119085,0.2850034240670369,0.004~0.015,0.01,0.063~0.124,0.1,0.0157,0.00321,0.0204,0.00483
6,12,0.065,180.0,0.0174942585779978,5670.500000000001,574.9999999999997,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.01674699999999993,2.894010933453939,0.0031,0.06810000000000001,0.0475057414220022,0.0506057414220022,1.0976591715976332,0.012351492769720572,0.013785003963353401,0.014091053046547251,0.11870574142200221,0.9016244667356065,1.83398239292144e-33,0.0002121348933997714,26730633.085024152,2710539.4628143683,1.1820446268584776e-35,1.1282364279853309e-35,177.95160456355154,162.11917976738133,1009074.5736776192,102322.17262404207,2.5914967989756534,0.2627829396721628,919296.8088709359,93218.52836624421,2.3609303015286183,0.23940303736512733,0.004~0.015,0.01,0.063~0.124,0.1,0.00913,0.00167,0.0118,0.00247
6,12,0.054,180.0,0.0154992964114832,15120.6,1323.9999999999995,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.014982549999999943,2.894010933453939,0.0031,0.0571,0.0385007035885168,0.0416007035885168,1.1181104252400547,0.00831615197511963,0.009501600699617236,0.009741828888868253,0.09870070358851679,0.9021595914436189,1.828470655094466e-33,0.00031307806401579435,48296580.75066283,4228977.217430364,1.7126675406299956e-35,1.619685590087912e-35,125.48362844502483,112.2282966086144,1897387.7522658426,166140.32406121283,4.872855202853874,0.42668017727990465,1696959.181700215,148590.2647098054,4.358116240448869,0.38160826305532186,0.004~0.015,0.01,0.063~0.124,0.1,0.0229,0.00927,0.0226,0.0091
6,12,0.065,180.0,0.0177472585779978,7650.500000000001,655.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.01699999999999993,2.894010933453939,0.0031,0.06810000000000001,0.0472527414220022,0.0503527414220022,1.0976591715976332,0.012285712769720573,0.0137160867633534,0.014031051950387717,0.11845274142200221,0.9021687385516064,1.8326169855184707e-33,0.00021818478904255743,35064314.21535877,3002042.456187176,1.1820446268584773e-35,1.1282364279853306e-35,178.0841889716201,162.23996808810895,1362433.0877273798,116645.14377641118,3.498989150817734,0.2995670732351632,1241216.8758580778,106267.17909771137,3.187682699106852,0.27291447198418245,0.004~0.015,0.01,0.063~0.124,0.1,0.00701,0.00104,0.0091,0.00144
6,12,0.065,180.0,0.0180317585779978,9542.5,655.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.01728449999999993,2.894010933453939,0.0031,0.06810000000000001,0.046968241422002205,0.0500682414220022,1.0976591715976332,0.012211742769720573,0.013638588963353402,0.0139637332807686,0.11816824142200222,0.9027807754356064,1.831047507873861e-33,0.0002249879325618182,42413385.870720334,2911267.251278158,1.1820446268584777e-35,1.128236427985331e-35,178.23683337448105,162.37903165794071,1700824.9824759855,116745.12586028509,4.368044357356399,0.29982384637866816,1549501.9095958993,106358.26573595116,3.979417719435395,0.2731483999193276,0.004~0.015,0.01,0.063~0.124,0.1,0.00748,0.00129,0.00972,0.00173
6,12,0.054,180.0,0.0159402464114832,13739.000000000004,1323.9999999999995,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.015423499999999944,2.894010933453939,0.0031,0.0571,0.0380597535885168,0.0411597535885168,1.1181104252400547,0.008220906775119628,0.009400887719617236,0.00965497917527604,0.0982597535885168,0.9030887930320189,1.825362989816932e-33,0.00032790572273543815,41899238.24868694,4037745.937932999,1.7126675406299962e-35,1.6196855900879123e-35,125.69726327666814,112.41936434827656,1726954.700158144,166423.17657830857,4.4351504776549815,0.4274065967257582,1544529.6467809721,148843.2383971181,3.9666479960624366,0.3822579479428388,0.004~0.015,0.01,0.063~0.124,0.1,0.0192,0.00701,0.0189,0.00683
6,12,0.065,180.0,0.0182732585779978,9036.5,775.0000000000001,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.017525999999999927,2.894010933453939,0.0031,0.06810000000000001,0.0467267414220022,0.0498267414220022,1.0976591715976332,0.012148952769720573,0.0135728043633534,0.01390671634241177,0.1179267414220022,0.9033003076236064,1.8296866079750445e-33,0.00023076283294811404,39159252.31352925,3358426.4419836416,1.1820446268584774e-35,1.1282364279853309e-35,178.36940388543493,162.49980731798547,1611835.1182107327,138236.2880112121,4.139501339426429,0.3550172675322839,1468429.5088289757,125937.35067143876,3.7712082644027127,0.3234312405148124,0.004~0.015,0.01,0.063~0.124,0.1,0.0085,0.00239,0.0111,0.0033
6,12,0.065,180.0,0.0185262585779978,10928.5,774.9999999999995,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.017778999999999927,2.894010933453939,0.0031,0.06810000000000001,0.0464737414220022,0.0495737414220022,1.0976591715976332,0.012083172769720573,0.013503887163353401,0.013847109420252237,0.11767374142200221,0.9038445794396064,1.8282323644728073e-33,0.00023681272859090135,46148279.54995273,3272628.1421250263,1.1820446268584776e-35,1.1282364279853309e-35,178.51128549284925,162.62906566254776,1950860.583508603,138346.24625695808,5.01018367649952,0.35529966137046487,1777291.7440931532,126037.52588847444,4.564425648817057,0.32368850966127255,0.004~0.015,0.01,0.063~0.124,0.1,0.00988,0.00436,0.013,0.00615
6,12,0.054,180.0,0.0164627964114832,11667.7,1533.0,22,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0005167464114832557,0.015946049999999944,2.894010933453939,0.0031,0.0571,0.037537203588516796,0.040637203588516795,1.1181104252400547,0.008108035975119629,0.009281537299617235,0.00955256096530318,0.09773720358851679,0.9041899480156189,1.821511060463574e-33,0.0003454773137637843,33772695.15293743,4437339.121630919,1.712667540629996e-35,1.6196855900879123e-35,125.96307389322787,112.65709633839073,1469699.357264015,193101.39227831832,3.7744694784303285,0.49592136500198786,1314449.2029474415,172703.328686753,3.3757573431264287,0.44353523033784,0.004~0.015,0.01,0.063~0.124,0.1,0.0248,0.00531,0.0239,0.00505
6,12,0.065,180.0,0.0187687585779978,9635.999999999998,630.0,23,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,1.1,,0.0007472585779978724,0.018021499999999926,2.894010933453939,0.0031,0.06810000000000001,0.0462312414220022,0.0493312414220022,1.0976591715976332,0.012020122769720573,0.013437830163353402,0.013790096461912567,0.1174312414220022,0.9043662628996064,1.826810756989688e-33,0.00024261154160819753,39717813.65439545,2596743.7320744228,1.1820446268584776e-35,1.1282364279853309e-35,178.65020134842266,162.755622119386,1721473.3401934004,112549.62684950627,4.421073295280942,0.2890490012481313,1568313.1747424032,102536.04193521319,4.0277286517326765,0.26333219703109034,0.004~0.015,0.01,0.063~0.124,0.1,0.0115,0.00594,0.0152,0.0084
6,12,0.0551,141.0,0.0163244915603493,3120.0,93.6,21,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,,0.00047849156034934087,0.01584599999999996,2.894010933453939,0.0031,0.0582,0.038775508439650705,0.041875508439650704,1.1156880247430014,0.007593853152611646,0.008662358878350967,0.008928847903054883,0.0944925812064359,0.9045492693246255,0.0573406909817417,0.0004031584075085152,7738893.551250328,232166.80653750984,0.0006191558535451573,0.0005861767616896593,109.78025011844132,98.39690637867085,342514.3803695369,10275.431411086107,0.8796425392979569,0.026389276178938704,306998.34790145303,9209.950437043592,0.7884305646290166,0.023652916938870498,0.004~0.015,0.01,0.063~0.124,0.1,0.0223,0.00495,0.0204,0.0044
6,12,0.0551,141.0,0.0163814915603493,6260.0,187.8,21,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,,0.00047849156034934087,0.01590299999999996,2.894010933453939,0.0031,0.0582,0.0387185084396507,0.0418185084396507,1.1156880247430014,0.00758269018796935,0.008650567870325893,0.008918921136067688,0.09444003989869809,0.9046681560366506,0.05732719427303308,0.00040533033080744987,15444193.350962875,463325.80052888626,0.0006191558535451573,0.0005861767616896593,109.80924036616659,98.42289056697649,687405.8446922029,20622.175340766087,1.7653898855310237,0.052961696565930715,616127.2949492729,18483.818848478186,1.5823329159938606,0.04746998747981582,0.004~0.015,0.01,0.063~0.124,0.1,0.0238,0.00515,0.0217,0.00456
6,12,0.0551,141.0,0.0164084915603493,7730.0,231.9,21,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,,0.00047849156034934087,0.015929999999999958,2.894010933453939,0.0031,0.0582,0.038691508439650704,0.0417915084396507,1.1156880247430014,0.007577402467875631,0.008644982655998225,0.00891422125128428,0.09441515371636208,0.9047244707949783,0.057320776720458114,0.0004063591043663428,19022583.51527228,570677.5054581683,0.0006191558535451574,0.0005861767616896594,109.82302974934005,98.43525010016825,848932.0199623986,25467.96059887196,2.180220044850077,0.06540660134550232,760904.4832743006,22827.134498229017,1.954148468477369,0.05862445405432107,0.004~0.015,0.01,0.063~0.124,0.1,0.0244,0.00525,0.0223,0.00464
6,12,0.0551,141.0,0.0164674915603493,9560.0,286.8,21,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,,0.00047849156034934087,0.015988999999999958,2.894010933453939,0.0031,0.0582,0.0386325084396507,0.0417325084396507,1.1156880247430014,0.00756584782026343,0.008632777928393323,0.0089039562066835,0.09436077684442568,0.9048475289705832,0.0573066985119338,0.00040860709266430365,23396559.119090326,701896.7735727099,0.0006191558535451572,0.0005861767616896591,109.85329042410183,98.46237298227389,1050197.4564544135,31505.923693632405,2.697108239260304,0.08091324717780912,941300.2857105384,28239.008571316153,2.417439444939442,0.07252318334818328,0.004~0.015,0.01,0.063~0.124,0.1,0.0256,0.00544,0.0233,0.00479
6,12,0.0551,141.0,0.0164974915603493,12030.0,360.9,21,2.4609142453120043,0.8885729807284853,0.11142701927151469,7.974483985462231,1.0,,0.00047849156034934087,0.01601899999999996,2.894010933453939,0.0031,0.0582,0.0386025084396507,0.0417025084396507,1.1156880247430014,0.007559972575714853,0.008626572134695917,0.008898739362479712,0.09433312971845953,0.9049101009242807,0.0572995112757512,0.0004097500992827295,29359358.35295367,880780.7505886101,0.0006191558535451572,0.0005861767616896591,109.86874491882858,98.47622496811941,1321721.0013735078,39651.63004120523,3.394432714437457,0.10183298143312369,1184668.9863664764,35540.069590994295,3.042456886833901,0.09127370660501705,0.004~0.015,0.01,0.063~0.124,0.1,0.026,0.00552,0.0237,0.00485
